protocol_type,service,duration,src_bytes,dst_bytes,logged_in,count,target
tcp,smtp,0,3844,377,1,1,normal
tcp,http,0,262,11785,1,1,normal
tcp,http,0,231,18499,1,5,normal
tcp,http,0,197,27228,1,12,normal
tcp,http,0,205,10044,1,11,normal
udp,other,2345,147,105,0,4,normal
tcp,uucp_path,0,0,0,0,204,ataque
udp,domain_u,0,44,133,0,80,normal
udp,other,0,516,4,0,166,normal
tcp,pop_3,0,38,130,1,1,normal
tcp,http,0,164,28382,1,1,normal
tcp,private,0,0,0,0,101,ataque
tcp,private,0,0,0,0,89,ataque
tcp,smtp,7,1362,380,1,1,normal
udp,private,1,105,146,0,3,normal
tcp,finger,0,0,0,0,3,ataque
tcp,private,0,0,0,0,132,ataque
icmp,eco_i,0,30,0,0,2,normal
tcp,http,0,0,0,0,8,ataque
tcp,http,0,248,4196,1,3,normal
tcp,smtp,0,13247,1430,1,1,normal
tcp,name,0,0,0,0,144,ataque
tcp,http,0,236,1872,1,1,normal
udp,domain_u,0,45,143,0,71,normal
tcp,ftp_data,0,373,0,1,17,normal
udp,other,89,145,105,0,1,normal
tcp,bgp,0,0,0,0,219,ataque
tcp,netbios_dgm,0,0,0,0,292,ataque
tcp,smtp,0,1165,325,1,1,normal
tcp,Z39_50,0,0,0,0,193,ataque
tcp,private,0,0,0,0,207,ataque
udp,domain_u,0,34,34,0,11,normal
tcp,http,0,198,11354,1,4,normal
tcp,http,0,284,8079,1,1,normal
udp,domain_u,0,44,110,0,1,normal
tcp,http,0,330,9132,1,2,normal
tcp,other,0,0,0,0,373,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,ftp_data,0,334,0,1,2,ataque
tcp,smtp,0,1317,404,1,1,normal
tcp,private,0,0,0,0,65,ataque
tcp,http,0,331,1288,1,26,normal
tcp,rje,0,0,0,0,212,ataque
icmp,eco_i,0,30,0,0,1,normal
tcp,http,0,235,327,1,4,normal
tcp,uucp,0,0,0,0,127,ataque
udp,private,0,105,147,0,6,normal
tcp,ftp_data,0,768,0,1,9,normal
tcp,ftp,0,0,0,0,278,ataque
tcp,smtp,1,709,335,1,1,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,private,0,0,0,0,208,ataque
tcp,http,0,262,7714,1,1,normal
tcp,private,0,0,0,0,289,ataque
tcp,telnet,0,0,0,0,4,ataque
udp,domain_u,0,42,75,0,152,normal
tcp,http,0,229,2030,1,2,normal
udp,domain_u,0,44,78,0,128,normal
tcp,http,0,208,473,1,30,normal
tcp,http,0,237,7542,1,2,normal
tcp,Z39_50,0,0,0,0,201,ataque
tcp,http,0,248,766,1,8,normal
tcp,ftp_data,0,740,0,0,2,normal
tcp,courier,0,0,0,0,110,ataque
tcp,telnet,0,0,0,0,210,ataque
tcp,http,0,304,8497,1,12,normal
tcp,http,0,0,0,0,29,normal
tcp,http,0,260,2090,1,22,normal
icmp,ecr_i,0,1032,0,0,511,ataque
tcp,iso_tsap,0,0,0,0,277,ataque
tcp,http,0,215,449,1,2,normal
icmp,urp_i,0,78,0,0,14,normal
tcp,echo,2,6,6,1,57,ataque
udp,domain_u,0,44,75,0,270,normal
tcp,http,0,325,930,1,9,normal
tcp,ftp_data,0,7233,0,1,9,normal
tcp,finger,0,8,222,0,1,normal
tcp,http,0,186,19509,1,2,normal
udp,other,0,516,4,0,339,normal
tcp,http,0,281,417,1,6,normal
tcp,ftp_data,0,5558,0,0,11,normal
tcp,private,0,0,0,0,394,ataque
udp,domain_u,0,45,45,0,48,normal
tcp,http,0,0,0,0,1,normal
tcp,ftp_data,0,641,0,1,2,normal
tcp,efs,0,0,0,0,116,ataque
tcp,ctf,0,0,0,0,220,ataque
tcp,http,0,285,266,1,10,normal
tcp,private,0,0,0,0,147,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,http,0,214,961,1,13,normal
udp,domain_u,0,45,136,0,65,normal
tcp,http,0,213,1116,1,54,normal
tcp,smtp,0,1809,325,1,1,normal
tcp,private,0,0,0,0,28,ataque
tcp,private,0,0,0,0,99,ataque
tcp,ssh,0,0,0,0,266,ataque
tcp,http,0,162,4937,1,2,normal
tcp,klogin,0,0,0,0,143,ataque
tcp,private,0,0,0,0,459,ataque
tcp,http,0,212,1227,1,3,normal
tcp,ftp_data,0,190,0,1,2,normal
tcp,login,0,0,0,0,104,ataque
tcp,http_443,0,0,0,0,121,ataque
tcp,http,0,226,943,1,8,normal
tcp,private,0,0,0,0,111,ataque
tcp,exec,0,0,0,0,142,ataque
tcp,courier,0,0,0,0,1,ataque
tcp,http,0,313,5294,1,4,normal
tcp,smtp,0,1247,332,1,1,normal
tcp,shell,0,0,0,0,120,ataque
tcp,http,0,331,3437,1,5,normal
tcp,http,0,153,338,1,2,normal
tcp,time,0,0,0,0,240,ataque
udp,private,0,1,0,0,29,ataque
tcp,smtp,1,1079,334,1,1,normal
udp,domain_u,0,33,93,0,2,normal
tcp,private,0,0,0,0,133,ataque
tcp,http,0,307,1992,1,12,normal
tcp,http,0,146,391,1,1,normal
tcp,http,0,350,255,1,9,normal
tcp,csnet_ns,0,0,0,0,260,ataque
tcp,hostnames,0,0,0,0,234,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,exec,0,0,0,0,142,ataque
tcp,ftp_data,0,4539,0,0,21,normal
tcp,csnet_ns,0,0,0,0,259,ataque
udp,domain_u,0,44,71,0,134,normal
tcp,private,0,0,0,0,146,ataque
udp,domain_u,0,44,127,0,43,normal
tcp,http,0,325,5583,1,2,normal
tcp,http,0,289,3428,1,1,normal
tcp,private,0,0,0,0,122,ataque
tcp,Z39_50,0,0,0,0,231,ataque
tcp,http,0,221,1367,1,3,normal
icmp,eco_i,0,30,0,0,1,normal
tcp,http,0,233,279,1,2,normal
tcp,private,0,0,0,0,123,ataque
tcp,smtp,2,1452,330,1,1,normal
tcp,efs,0,0,0,0,510,ataque
tcp,auth,0,10,38,1,1,normal
tcp,http,0,54540,8314,1,5,ataque
tcp,http,0,0,0,0,1,normal
tcp,telnet,0,0,0,0,39,ataque
tcp,http,0,318,2462,1,4,normal
tcp,telnet,0,0,0,0,275,ataque
tcp,http,0,301,310,1,11,normal
tcp,IRC,7055,737,9178,1,1,normal
tcp,smtp,1,1444,330,1,1,normal
tcp,private,0,0,0,0,205,ataque
udp,other,1836,147,105,0,1,normal
icmp,ecr_i,0,1480,0,0,2,ataque
tcp,telnet,632,522,8496,1,1,normal
udp,private,0,100,0,0,2,ataque
tcp,other,0,59,0,1,16,normal
icmp,eco_i,0,8,0,0,1,ataque
udp,domain_u,0,42,42,0,13,normal
icmp,ecr_i,0,1032,0,0,47,ataque
udp,domain_u,0,46,46,0,213,normal
tcp,imap4,0,0,0,0,160,ataque
tcp,smtp,0,13106,1429,1,1,normal
tcp,auth,0,0,0,0,294,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,http,0,152,5096,1,2,normal
tcp,http,0,219,1357,1,10,normal
tcp,http,0,0,0,0,1,normal
tcp,http,0,389,858,1,2,normal
tcp,http,0,306,1694,1,5,normal
tcp,http,0,376,245,1,5,normal
tcp,klogin,0,0,0,0,100,ataque
tcp,hostnames,0,0,0,0,172,ataque
icmp,ecr_i,0,1032,0,0,511,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,http,0,0,0,0,1,normal
tcp,http,0,328,4425,1,8,normal
tcp,courier,0,0,0,0,109,ataque
icmp,eco_i,0,18,0,0,1,ataque
udp,private,0,1,0,0,11,ataque
tcp,http,0,281,757,1,2,normal
tcp,http,0,354,1590,1,14,normal
tcp,private,0,0,0,0,2,ataque
tcp,http,0,292,1896,1,3,normal
tcp,iso_tsap,0,0,0,0,122,ataque
tcp,smtp,5,804,330,1,1,normal
tcp,hostnames,0,0,0,0,216,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,http,0,304,5419,1,7,normal
tcp,http,0,230,480,1,12,normal
udp,domain_u,0,41,41,0,150,normal
tcp,ftp_data,0,0,20595,0,1,normal
tcp,http,0,228,302,1,12,normal
icmp,ecr_i,0,520,0,0,473,ataque
tcp,http,0,0,0,0,1,normal
udp,other,550,147,105,0,1,normal
icmp,ecr_i,0,520,0,0,439,ataque
tcp,http,0,253,939,1,26,normal
tcp,IRC,7992,744,9449,1,1,normal
tcp,http,0,234,254,1,8,normal
tcp,bgp,0,0,0,0,237,ataque
tcp,http,0,195,40975,1,12,normal
tcp,http,0,0,0,0,1,normal
tcp,http,0,312,1274,1,3,normal
tcp,ftp,1,57,170,0,1,normal
tcp,private,0,0,0,0,145,ataque
tcp,http,0,243,896,1,22,normal
icmp,ecr_i,0,1032,0,0,126,ataque
tcp,private,0,0,0,0,100,ataque
tcp,http,0,218,6459,1,1,normal
tcp,other,0,0,0,0,509,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,http,0,216,25078,1,3,normal
tcp,http,0,0,0,0,4,ataque
udp,private,0,1,0,0,54,ataque
tcp,http,0,0,0,0,287,ataque
tcp,http,0,327,2566,1,5,normal
tcp,klogin,0,0,0,0,139,ataque
tcp,http,0,280,4045,1,10,normal
tcp,private,0,0,0,0,72,ataque
tcp,http,0,270,10333,1,3,normal
tcp,smtp,0,0,0,0,104,ataque
udp,domain_u,0,44,135,0,192,normal
tcp,http,0,0,0,0,1,normal
tcp,private,0,0,0,0,123,ataque
tcp,http,0,321,13233,1,2,normal
tcp,smtp,0,790,336,1,1,normal
tcp,ftp_data,5058,5133876,0,1,1,ataque
tcp,http,0,235,2613,1,10,normal
tcp,http,0,343,1189,1,8,normal
tcp,http,0,180,13176,1,1,normal
tcp,http,0,181,10333,1,3,normal
tcp,supdup,0,0,0,0,120,ataque
tcp,http,0,207,9487,1,29,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,uucp,0,0,0,0,135,ataque
tcp,http,0,0,0,0,1,normal
udp,private,0,105,147,0,3,normal
udp,private,0,1,0,0,10,ataque
tcp,smtp,0,755,327,1,1,normal
icmp,eco_i,0,18,0,0,1,ataque
tcp,private,0,0,0,0,271,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,private,0,0,0,0,24,ataque
tcp,private,0,0,0,0,122,ataque
tcp,ftp_data,0,16115,0,0,8,normal
tcp,courier,0,0,0,0,103,ataque
tcp,http,0,159,20222,1,1,normal
tcp,smtp,0,0,0,0,1,normal
tcp,klogin,0,0,0,0,101,ataque
tcp,http,0,317,7384,1,24,normal
tcp,http,0,231,284,1,25,normal
tcp,ftp_data,0,71,0,1,1,normal
tcp,http,0,0,0,0,12,ataque
tcp,smtp,0,714,483,1,1,normal
tcp,imap4,0,0,0,0,286,ataque
udp,domain_u,0,44,110,0,225,normal
udp,other,5442,146,105,0,1,normal
tcp,http,0,291,2696,1,17,normal
tcp,smtp,1,821,368,1,1,normal
icmp,urp_i,0,182,0,0,3,normal
tcp,http,0,0,0,0,10,normal
tcp,domain,0,0,0,0,234,ataque
udp,domain_u,28,46,46,0,5,normal
tcp,http,0,0,0,0,220,ataque
tcp,domain,0,0,0,0,267,ataque
tcp,ftp_data,0,0,0,0,74,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,http,0,54540,8314,1,8,ataque
tcp,http,0,302,268,1,1,normal
tcp,time,0,0,0,0,242,ataque
icmp,urp_i,0,78,0,0,8,normal
tcp,http,0,330,1840,1,7,normal
tcp,http,0,244,1088,1,24,normal
tcp,finger,0,0,0,0,24,ataque
tcp,http,0,299,377,1,9,normal
udp,private,0,28,0,0,83,ataque
tcp,private,0,0,0,0,104,ataque
tcp,private,0,0,0,0,1,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,hostnames,0,0,0,0,285,ataque
tcp,private,0,0,0,0,103,ataque
tcp,http,0,321,2563,1,7,normal
tcp,smtp,1,1340,364,1,1,normal
tcp,http,0,335,2648,1,6,normal
udp,other,14829,147,105,0,1,normal
tcp,http,0,228,2090,1,4,normal
udp,domain_u,0,43,107,0,6,normal
udp,domain_u,0,45,138,0,129,normal
tcp,smtp,0,1713,336,1,1,normal
tcp,telnet,521,1205,15071,1,1,normal
tcp,daytime,0,0,0,0,134,ataque
tcp,name,0,0,0,0,103,ataque
tcp,smtp,2,891,327,1,2,normal
tcp,private,0,0,0,0,224,ataque
udp,private,0,1,0,0,4,ataque
tcp,http,0,236,14600,1,1,normal
udp,domain_u,0,43,129,0,69,normal
tcp,finger,0,0,0,0,35,ataque
udp,domain_u,0,44,117,0,104,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,private,0,0,0,0,213,ataque
tcp,ftp_data,0,61298,0,0,9,normal
tcp,http,0,0,0,0,19,normal
tcp,ftp_data,0,637,0,0,7,normal
tcp,daytime,0,0,0,0,19,ataque
tcp,name,0,0,0,0,291,ataque
tcp,http,0,197,310,1,1,normal
udp,domain_u,0,42,42,0,1,normal
tcp,supdup,0,0,0,0,295,ataque
tcp,private,0,0,0,0,94,ataque
tcp,private,0,0,0,0,207,ataque
tcp,domain,0,0,0,0,274,ataque
icmp,eco_i,0,30,0,0,2,normal
tcp,private,0,0,0,0,130,ataque
tcp,efs,0,0,0,0,30,ataque
tcp,http,0,319,1718,1,4,normal
udp,private,0,28,0,0,99,ataque
tcp,http,0,206,261,1,3,normal
tcp,nntp,0,0,0,0,127,ataque
icmp,eco_i,0,30,0,0,1,normal
tcp,vmnet,0,0,0,0,270,ataque
udp,other,1524,146,105,0,1,normal
tcp,http,0,292,7547,1,2,normal
tcp,http,0,217,1042,1,24,normal
tcp,smtp,5,1606,332,1,1,normal
tcp,private,0,0,0,0,97,ataque
tcp,ftp,26,333,1072,1,1,normal
tcp,smtp,0,1808,387,1,1,normal
tcp,other,0,0,0,0,511,ataque
tcp,finger,0,0,0,0,206,ataque
tcp,rje,0,0,0,0,210,ataque
tcp,private,0,0,0,0,268,ataque
tcp,uucp,0,0,0,0,123,ataque
tcp,http,0,0,0,0,1,normal
tcp,http,0,228,720,1,37,normal
tcp,ssh,0,0,0,0,234,ataque
tcp,private,42492,1,0,0,2,ataque
tcp,smtp,12,926,330,1,1,normal
udp,domain_u,0,42,128,0,137,normal
tcp,private,0,0,0,0,298,ataque
tcp,ssh,0,0,0,0,225,ataque
tcp,smtp,0,865,400,1,1,normal
tcp,http,0,54540,8314,1,2,ataque
tcp,ftp_data,0,334,0,1,1,ataque
tcp,bgp,0,0,0,0,272,ataque
tcp,http,0,150,193,1,1,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,smtp,0,1194,391,1,1,normal
udp,domain_u,0,44,71,0,207,normal
tcp,http,0,0,0,0,1,normal
tcp,private,0,0,0,0,77,ataque
tcp,http,0,0,0,0,292,ataque
udp,domain_u,0,45,154,0,63,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,private,0,0,0,0,132,ataque
tcp,iso_tsap,0,0,0,0,10,ataque
tcp,http,0,331,235,1,1,normal
tcp,systat,0,0,0,0,263,ataque
tcp,http,0,309,1528,1,4,normal
tcp,http,0,196,3629,1,8,normal
tcp,private,0,0,0,0,180,ataque
tcp,smtp,15,728,331,1,1,normal
tcp,private,0,0,0,0,222,ataque
tcp,http,0,230,8753,1,1,normal
tcp,http,0,336,334,1,14,normal
tcp,http,0,203,983,1,19,normal
tcp,finger,0,0,0,0,1,ataque
tcp,http,0,366,4084,1,7,normal
tcp,http,0,238,9092,1,4,normal
tcp,uucp,0,0,0,0,106,ataque
tcp,http,0,279,1026,1,30,normal
tcp,time,0,0,0,0,1,normal
tcp,http,0,54540,8314,1,4,ataque
tcp,private,0,0,0,0,216,ataque
tcp,private,0,0,0,0,233,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,http,0,219,1354,1,13,normal
icmp,urp_i,0,182,0,0,2,normal
tcp,smtp,0,965,331,1,1,normal
tcp,supdup,0,0,0,0,280,ataque
tcp,http,0,54540,8314,1,4,ataque
tcp,whois,0,0,0,0,300,ataque
tcp,private,0,0,0,0,291,ataque
tcp,csnet_ns,0,0,0,0,264,ataque
udp,domain_u,0,44,70,0,148,normal
tcp,http,0,219,9264,1,9,normal
tcp,http,0,326,5202,1,12,normal
tcp,http,0,222,1483,1,3,normal
udp,domain_u,0,29,0,0,4,normal
tcp,private,0,0,0,0,183,ataque
tcp,http,0,0,0,0,12,ataque
tcp,private,0,0,0,0,181,ataque
tcp,http,0,310,498,1,14,normal
icmp,urp_i,0,78,0,0,14,normal
tcp,ftp_data,5,2194619,0,1,2,normal
tcp,ftp_data,0,12165,0,1,8,normal
tcp,ctf,0,0,0,0,239,ataque
tcp,http,0,285,304,1,32,normal
tcp,http,0,291,1844,1,6,normal
tcp,telnet,17,372,258229,1,1,normal
tcp,finger,0,0,0,0,276,ataque
tcp,ftp_data,0,192,0,1,1,normal
tcp,finger,0,6,0,0,1,normal
icmp,ecr_i,0,1032,0,0,195,ataque
tcp,private,0,0,0,0,120,ataque
tcp,nnsp,0,0,0,0,102,ataque
tcp,uucp,0,0,0,0,119,ataque
tcp,http,0,333,753,1,10,normal
tcp,daytime,0,0,0,0,277,ataque
udp,domain_u,0,34,0,0,1,normal
tcp,uucp,0,0,0,0,140,ataque
tcp,http,0,228,26903,1,10,normal
icmp,eco_i,0,18,0,0,1,ataque
tcp,netbios_dgm,0,0,0,0,196,ataque
tcp,private,0,0,0,0,175,ataque
tcp,private,0,0,0,0,259,ataque
tcp,http,0,293,269,1,11,normal
tcp,telnet,0,0,0,0,6,ataque
udp,domain_u,0,42,42,0,6,normal
tcp,ftp_data,0,151,0,0,2,normal
udp,domain_u,0,45,78,0,210,normal
tcp,private,0,0,0,0,102,ataque
tcp,http,0,232,36979,1,19,normal
tcp,telnet,20,102,2063,1,1,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,http,0,206,294,1,15,normal
icmp,ecr_i,0,1032,0,0,302,ataque
tcp,http,0,0,0,0,1,normal
tcp,smtp,0,0,0,0,2,normal
tcp,uucp_path,0,0,0,0,188,ataque
tcp,private,0,0,0,0,31,ataque
udp,domain_u,0,42,121,0,178,normal
tcp,other,0,4753,0,1,13,normal
tcp,smtp,0,1629,334,1,1,normal
tcp,echo,0,0,0,0,270,ataque
udp,domain_u,0,44,113,0,4,normal
tcp,private,37183,1,0,0,2,ataque
tcp,ftp_data,0,0,0,0,80,ataque
tcp,http,0,184,5288,1,1,normal
tcp,imap4,0,0,0,0,1,ataque
tcp,private,0,0,0,0,229,ataque
udp,domain_u,0,44,44,0,109,normal
tcp,smtp,1,1299,333,1,1,normal
tcp,efs,0,0,0,0,100,ataque
tcp,smtp,0,888,331,1,1,normal
udp,private,0,1,0,0,65,ataque
udp,private,0,105,145,0,1,normal
tcp,netstat,0,0,0,0,202,ataque
tcp,private,27301,1,0,0,2,ataque
tcp,http,0,225,682,1,20,normal
tcp,private,0,0,0,0,105,ataque
tcp,http,0,203,1074,1,8,normal
tcp,ftp_data,0,15876,0,0,23,normal
tcp,ftp_data,0,12,0,1,1,normal
tcp,domain,0,0,0,0,213,ataque
tcp,printer,0,0,0,0,125,ataque
tcp,ftp,20,236,769,1,1,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,smtp,0,860,390,1,1,normal
tcp,http,0,0,0,0,25,ataque
tcp,http,0,0,0,0,2,normal
udp,other,0,147,0,0,1,normal
tcp,ftp_data,0,1556,0,1,4,normal
tcp,http,0,312,342,1,2,normal
udp,other,0,113,0,0,45,normal
tcp,discard,0,0,0,0,1,ataque
tcp,mtp,0,0,0,0,104,ataque
tcp,http,0,0,0,0,133,ataque
tcp,http,0,279,2337,1,9,normal
tcp,whois,0,0,0,0,256,ataque
tcp,http,0,224,5705,1,34,normal
tcp,http,0,236,296,1,4,normal
udp,other,0,1,0,0,19,ataque
tcp,http,0,206,3571,1,10,normal
tcp,private,0,0,0,0,139,ataque
tcp,private,0,0,0,0,143,ataque
tcp,http,0,312,981,1,6,normal
tcp,shell,0,0,0,0,128,ataque
tcp,http,0,252,1680,1,8,normal
tcp,smtp,1,1068,327,1,1,normal
tcp,http,0,313,313,1,19,normal
tcp,telnet,0,0,0,0,264,ataque
tcp,ftp_data,0,501760,0,0,2,normal
tcp,http,0,361,2797,1,1,normal
tcp,http,0,260,892,1,13,normal
tcp,ftp_data,0,383,0,1,2,normal
udp,other,0,516,4,0,298,normal
tcp,http,0,233,1380,1,4,normal
tcp,finger,0,0,0,0,54,ataque
udp,domain_u,0,44,132,0,64,normal
udp,domain_u,0,44,74,0,180,normal
tcp,http,0,294,869,1,3,normal
tcp,iso_tsap,0,0,0,0,185,ataque
tcp,http,0,323,5340,1,2,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,ftp_data,0,607,0,1,2,normal
tcp,http,0,231,1046,1,12,normal
tcp,http,0,249,14513,1,7,normal
tcp,private,0,0,0,0,1,ataque
tcp,smtp,1,2288,331,1,2,normal
tcp,uucp_path,0,0,0,0,240,ataque
tcp,ftp_data,0,1699,0,1,9,normal
tcp,http,0,0,0,0,1,normal
tcp,private,0,0,0,0,293,ataque
tcp,private,0,0,0,0,46,ataque
tcp,smtp,3,1236,332,1,1,normal
icmp,eco_i,0,18,0,0,1,ataque
udp,private,0,105,146,0,6,normal
tcp,uucp_path,0,0,0,0,209,ataque
tcp,http,0,220,1248,1,2,normal
tcp,private,0,0,0,0,104,ataque
tcp,private,0,0,0,0,183,ataque
udp,domain_u,0,45,75,0,303,normal
tcp,private,0,0,0,0,185,ataque
tcp,discard,0,0,0,0,265,ataque
icmp,ecr_i,0,520,0,0,297,ataque
udp,domain_u,0,42,128,0,197,normal
udp,other,5419,147,105,0,1,normal
udp,domain_u,0,45,128,0,165,normal
tcp,http,0,161,9534,1,1,normal
tcp,http,0,54540,8314,1,6,ataque
tcp,ftp_data,0,0,0,0,69,ataque
tcp,smtp,1,872,342,1,1,normal
tcp,http,0,279,1010,1,7,normal
tcp,ftp,0,0,0,0,150,ataque
tcp,nnsp,0,0,0,0,127,ataque
tcp,ftp_data,0,0,0,0,225,ataque
tcp,http,0,201,6590,1,6,normal
tcp,finger,0,9,225,0,1,normal
tcp,discard,0,0,0,0,50,ataque
tcp,http,0,213,1176,1,16,normal
tcp,finger,0,0,0,0,300,ataque
tcp,gopher,0,0,0,0,32,ataque
tcp,domain,0,0,0,0,1,ataque
tcp,mtp,0,0,0,0,271,ataque
tcp,other,0,0,0,0,511,ataque
udp,domain_u,0,44,128,0,64,normal
tcp,http,0,253,11696,1,10,normal
tcp,http,0,0,0,0,36,ataque
tcp,netbios_ns,0,0,0,0,232,ataque
tcp,http,0,209,290,1,10,normal
tcp,auth,0,0,0,0,237,ataque
tcp,http,0,221,4988,1,15,normal
tcp,http,0,345,6052,1,9,normal
tcp,sunrpc,0,0,0,0,299,ataque
tcp,private,0,0,0,0,108,ataque
tcp,http,0,144,37654,1,1,normal
udp,private,0,105,146,0,8,normal
tcp,smtp,5,1101,332,1,1,normal
icmp,ecr_i,0,1032,0,0,511,ataque
tcp,http,0,238,188,1,36,normal
tcp,private,0,0,0,0,115,ataque
tcp,http,0,295,7871,1,14,normal
tcp,smtp,11,2119,332,1,1,normal
tcp,smtp,58,11422,1360,1,1,normal
tcp,private,0,0,0,0,137,ataque
tcp,finger,0,8,173,0,1,normal
tcp,hostnames,0,0,0,0,282,ataque
tcp,private,0,0,0,0,206,ataque
tcp,other,9135,1,0,0,2,ataque
tcp,http,0,220,1748,1,17,normal
tcp,private,1,0,0,0,54,ataque
tcp,http,0,224,4352,1,2,normal
tcp,private,0,0,0,0,105,ataque
udp,domain_u,0,44,110,0,1,normal
udp,domain_u,0,33,89,0,1,normal
tcp,http,0,314,287,1,6,normal
tcp,telnet,0,464,2225,0,1,normal
tcp,telnet,10551,270,8081,1,1,normal
icmp,eco_i,0,8,0,0,1,ataque
tcp,private,0,0,0,0,225,ataque
tcp,http_443,0,0,0,0,129,ataque
tcp,finger,0,0,0,0,244,ataque
tcp,private,21283,1,0,0,2,ataque
tcp,courier,0,0,0,0,140,ataque
tcp,nntp,0,0,0,0,71,ataque
tcp,private,0,0,0,0,131,ataque
tcp,other,0,3775,0,1,20,normal
tcp,ctf,0,0,0,0,211,ataque
icmp,ecr_i,0,520,0,0,478,ataque
tcp,systat,0,0,0,0,263,ataque
tcp,time,0,0,0,0,202,ataque
tcp,ftp_data,0,383,0,1,3,normal
tcp,ftp_data,0,334,0,1,2,ataque
tcp,http,0,317,280,1,4,normal
tcp,private,0,0,0,0,108,ataque
tcp,private,0,0,0,0,230,ataque
tcp,http,0,236,1694,1,7,normal
tcp,http,0,0,0,0,17,normal
tcp,http,0,287,181,1,19,normal
tcp,http,0,146,21433,1,7,normal
tcp,smtp,0,1523,328,1,2,normal
tcp,private,37520,1,0,0,2,ataque
tcp,daytime,0,0,0,0,269,ataque
icmp,eco_i,0,8,0,0,1,ataque
tcp,private,0,0,0,0,134,ataque
tcp,ftp_data,0,0,0,0,44,ataque
tcp,private,0,0,0,0,198,ataque
tcp,ftp_data,0,1199,0,1,11,normal
tcp,http_443,0,0,0,0,137,ataque
tcp,http,0,0,0,0,1,normal
tcp,http,0,242,283,1,20,normal
tcp,http,0,203,863,1,16,normal
udp,domain_u,0,45,45,0,138,normal
icmp,eco_i,0,30,0,0,2,normal
